legacy_dir,tracked,real_on_disk,disposition,classification,rebuild_action
kernel,27,63,not selected (CRITICAL - 8 in Beginnings vs 27+ in legacy),runtime-source,rebuild-as-runtime for ~10 critical files
linguist-submission,12,12,not selected,misc,drop
monitoring,2,2,not selected,runtime-source (empty),drop
plans,1,1,not selected,doc,drop - superseded by ~/.hermes/plans/
policies,4,8,not selected,config,drop or merge into packages/governance/policy.py
project_ai,30,70,not selected,runtime-source,inspect - likely legacy package source
Project-Ai,6,6,live Obsidian state,ide-state,excluded from inventory
Project_ai_index,1,0,DEAD - tracked but no on-disk content,empty,drop
recovery,47,47,not selected,op-history,preserve-as-reference: docs/legacy-archive/recovery/
relationships,195,195,not selected,data-model,preserve-as-reference: docs/legacy-archive/relationships/
scripts,160,268,not selected,ops-scripts,preserve-as-reference: docs/legacy-archive/scripts/
security,1,0,DEAD - tracked but no on-disk content,empty,drop
SOVEREIGN-WAR-ROOM,22,37,scheduled STAGE_4 merge; shallow (2 in Beginnings vs 8 swr + 11 extras),runtime-source,rebuild-as-runtime for 6 swr files + extras
source-docs,244,245,not selected (CRITICAL - 241 markdown),doc,preserve-as-reference: docs/legacy-archive/source-docs/
src,981,2179,"not selected (CRITICAL - src/app/core/ is 3.8MB, 225 py files)",runtime-source,rebuild-as-runtime for ~150 high-value files
templates,23,23,not selected,doc,drop or cherry-pick
tarl,33,69,not selected (CRITICAL - no packages/tarl/),runtime-source,rebuild-as-runtime: NEW packages/tarl/
tarl_os,39,46,not selected (CRITICAL - no packages/tarl_os/),runtime-source + config,RESOLVED-PARTIAL 2026-06-25 (Phase A) — *.thirsty config data archived to docs/legacy-archive/tarl_os_config/ (27 files, SHA-256 verified); *.py rebuild deferred to Phase H/I
temporal,8,16,not selected (CRITICAL),runtime-source,rebuild-as-runtime: NEW packages/temporal/
test-artifacts,1,41,ignored,test-output,drop
test-data,5,5,not selected,test-data,drop
tests,317,1431,"not selected (CRITICAL - 309 py tests, no Beginnings integration/e2e)",runtime-test,"rebuild-as-runtime: tests/{unit,integration,e2e,chaos,security}/"
thirsty_lang,1,0,DEAD - superseded by PyPI thirsty-lang 0.1.4,empty,drop
unity,21,21,DEFERRED per 2026-06-21 user instruction,app,FLAG for confirmation
usb_installer,4,4,not selected,deploy-tool,preserve-as-reference
utils,12,24,not selected,runtime-source,preserve-as-reference: docs/legacy-archive/utils/
validation,18,18,not selected,test-framework,preserve-as-reference: docs/legacy-archive/validation/
web,153,29043,"not selected (28,889 of 29,043 are node_modules)",web-source,RESOLVED 2026-06-25 (Phase A) — hub-epstein + site archived to docs/legacy-archive/web/ (119 files, SHA-256 verified)
whitepaper,1,1,not selected,paper,verify against MERGE_PROVENANCE; add if missing
wiki,191,192,not selected (16 substantial files already carried per Addendum K),navigation,PARTIAL - verified handled
work,1,0,DEAD - tracked but empty,empty,drop
writer-reviewer-workflow,8,10,not selected,app,preserve-as-reference: docs/legacy-archive/writer-reviewer-workflow/
